"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"905","Petermann et al. 2008","2008","Lepidium campestre","Lepidium","Brassicaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-4.713383771","0.083595189","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"906","Petermann et al. 2008","2008","Lepidium campestre","Lepidium","Brassicaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.842205335","0.179593507","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"907","Petermann et al. 2008","2008","Leucanthemum vulgare","Leucanthemum","Asteraceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.761011271","0.014754493","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"908","Petermann et al. 2008","2008","Leucanthemum vulgare","Leucanthemum","Asteraceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.583534521","0.030870826","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"909","Petermann et al. 2008","2008","Medicago lupulina","Medicago","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","1.38543783","0.056087336","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"910","Petermann et al. 2008","2008","Medicago lupulina","Medicago","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.587033085","0.027791685","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"911","Petermann et al. 2008","2008","Melilotus albus","Melilotus","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","1.10373722","0.020339894","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"912","Petermann et al. 2008","2008","Melilotus albus","Melilotus","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.232855205","0.169370858","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"913","Petermann et al. 2008","2008","Panicum capillare","Panicum","Poaceae","Field","Nonwoody","Non-native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.706374298","0.11460542","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"914","Petermann et al. 2008","2008","Panicum capillare","Panicum","Poaceae","Field","Nonwoody","Non-native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-2.146902628","0.299694034","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"915","Petermann et al. 2008","2008","Plantago lanceolata","Plantago","Plantaginaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-2.353950587","0.283719817","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"916","Petermann et al. 2008","2008","Plantago lanceolata","Plantago","Plantaginaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-2.098232747","0.042102565","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"917","Petermann et al. 2008","2008","Tanacetum vulgare","Tanacetum","Asteraceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-2.841435384","0.141637916","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"918","Petermann et al. 2008","2008","Tanacetum vulgare","Tanacetum","Asteraceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.768545232","0.19624676","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"919","Petermann et al. 2008","2008","Trifolium campestre","Trifolium","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","1.165751592","0.076169156","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"920","Petermann et al. 2008","2008","Trifolium campestre","Trifolium","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","1.630167508","0.013455425","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"921","Petermann et al. 2008","2008","Trifolium incarnatum","Trifolium","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.781612868","0.639015074","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"922","Petermann et al. 2008","2008","Trifolium incarnatum","Trifolium","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-0.216831969","0.427112946","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"923","Petermann et al. 2008","2008","Trifolium pratense","Trifolium","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-0.056825192","0.098001024","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"924","Petermann et al. 2008","2008","Trifolium pratense","Trifolium","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.157251458","0.076274778","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"925","Petermann et al. 2008","2008","Trifolium repens","Trifolium","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","1.824845194","0.092877859","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"926","Petermann et al. 2008","2008","Trifolium repens","Trifolium","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.466814803","0.134448342","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"927","Petermann et al. 2008","2008","Vicia cracca","Vicia","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.321283819","0.074032307","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"928","Petermann et al. 2008","2008","Vicia cracca","Vicia","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.074736346","0.067053483","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"929","Petermann et al. 2008","2008","Vicia villosa","Vicia","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.666680607","0.210417532","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"930","Petermann et al. 2008","2008","Vicia villosa","Vicia","Fabaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","0.26436701","0.10812603","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"931","Petermann et al. 2008","2008","Arctium tomentosum","Arctium","Asteraceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-0.88080615","0.043947936","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
